end_time,run,gain_set,gain_actual,signal,peak_signal,noise,snr,modes,bad,p_bad,messages_valid,max_distance
1701202655.0,11,36.4,36.4,-11.1,-1.0,-20.6,9.5,4467629,3127023,0.7,42201,387137
1701202725.0,11,43.4,43.4,-8.2,-0.9,-16.6,8.4,5662952,4128951,0.729,41791,462205
1701202805.0,11,42.1,42.1,-8.1,-0.9,-17.1,9.0,5357264,3870569,0.722,45992,417565
1701202875.0,11,49.6,49.6,-7.0,-0.9,-15.5,8.5,6178765,4507230,0.729,48471,398446
1701202955.0,11,44.5,44.5,-7.3,-1.0,-16.8,9.5,5582510,4040159,0.724,50514,396906
1701203035.0,11,33.8,33.8,-11.2,-1.4,-21.3,10.1,4136584,2857132,0.691,50459,376819
1701203105.0,11,28.0,28.0,-14.1,-1.5,-25.1,11.0,2946396,1907642,0.647,46683,425292
1701203185.0,11,29.7,29.7,-13.2,-2.2,-23.6,10.4,3319681,2198389,0.662,49036,378697
1701203255.0,11,38.6,38.6,-9.6,-1.0,-20.1,10.5,4632551,3264020,0.705,50364,397972
1701203335.0,11,48.0,48.0,-7.3,-0.8,-16.9,9.6,5693455,4133246,0.726,49499,408704
1701203405.0,11,37.2,37.2,-10.0,-1.0,-20.5,10.5,4504248,3140322,0.697,55066,425377
1701203485.0,12,40.2,40.2,-9.4,-0.8,-19.0,9.6,4892328,3480957,0.712,54602,381213
1701203555.0,12,29.7,29.7,-13.0,-1.2,-24.0,11.0,3249217,2132353,0.656,52625,456517
1701203635.0,12,33.8,33.8,-10.8,-1.1,-20.8,10.0,3981534,2731021,0.686,52420,417889
1701203705.0,12,44.5,44.5,-8.0,-0.9,-16.9,8.9,5195519,3746807,0.721,52501,430525
1701203785.0,12,43.4,43.4,-8.6,-0.9,-17.4,8.8,5045911,3634827,0.72,51805,414492
1701203855.0,12,-10,59.0,-4.6,-0.8,-11.2,6.6,5743582,4215157,0.734,46287,436878
1701203935.0,12,42.1,42.1,-8.1,-1.2,-18.3,10.2,4779749,3419488,0.715,53759,428417
1701204005.0,12,49.6,49.6,-7.4,-1.0,-16.8,9.4,5360683,3894863,0.727,55109,415029
1701204085.0,12,36.4,36.4,-10.0,-1.0,-20.3,10.3,3998160,2780970,0.696,50656,400906
1701204165.0,12,38.6,38.6,-9.0,-0.9,-17.5,8.5,5415878,3889710,0.718,42234,388118
1701204235.0,12,48.0,48.0,-7.4,-0.9,-15.4,8.0,6087908,4476168,0.735,41055,397558
1701204315.0,12,32.8,32.8,-11.1,-1.0,-21.0,9.9,4049455,2773179,0.685,42480,391823
1701204385.0,12,43.9,43.9,-8.1,-0.9,-15.7,7.6,5806287,4228258,0.728,41182,435891
1701204465.0,12,37.2,37.2,-10.2,-1.0,-18.2,8.0,4948841,3528998,0.713,42351,402142
1701204535.0,12,28.0,28.0,-14.5,-2.3,-24.4,9.9,3215849,2126021,0.661,40807,395672
1701204615.0,12,25.4,25.4,-15.9,-2.1,-27.5,11.6,2516823,1616876,0.642,41120,366962
1701204685.0,13,40.2,40.2,-9.3,-1.1,-19.0,9.7,4684559,3365344,0.718,47984,427002
1701204765.0,13,43.9,43.9,-8.7,-1.0,-18.0,9.3,4897471,3558490,0.727,50754,449746
